supplier_name,ingredient_name,email,contact_person,phone,lead_time_days,notes
Supplier B,Prawns,orders.supplierb@example.com,Bima Santoso,+62-811-1000-0002,2,Dummy supplier record for Prawns.
Supplier C,Red Beans,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Red Beans.
Supplier C,Rice,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Rice.
Supplier A,Rice Flour Jelly,orders.suppliera@example.com,Alicia Pratama,+62-811-1000-0001,1,Dummy supplier record for Rice Flour Jelly.
Supplier B,Rice Noodles,orders.supplierb@example.com,Bima Santoso,+62-811-1000-0002,2,Dummy supplier record for Rice Noodles.
Supplier C,Sambal,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Sambal.
Supplier A,Shrimp Paste,orders.suppliera@example.com,Alicia Pratama,+62-811-1000-0001,1,Dummy supplier record for Shrimp Paste.
Supplier B,Soft-Boiled Eggs,orders.supplierb@example.com,Bima Santoso,+62-811-1000-0002,2,Dummy supplier record for Soft-Boiled Eggs.
Supplier C,Soy Sauce,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Soy Sauce.
Supplier A,Spaghetti,orders.suppliera@example.com,Alicia Pratama,+62-811-1000-0001,1,Dummy supplier record for Spaghetti.
Supplier B,Spices,orders.supplierb@example.com,Bima Santoso,+62-811-1000-0002,2,Dummy supplier record for Spices.
Supplier C,Sugar Syrup,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Sugar Syrup.
Supplier A,Tamarind,orders.suppliera@example.com,Alicia Pratama,+62-811-1000-0001,1,Dummy supplier record for Tamarind.
Supplier B,Tandoori Masala,orders.supplierb@example.com,Bima Santoso,+62-811-1000-0002,2,Dummy supplier record for Tandoori Masala.
Supplier C,Vegetable Broth,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Vegetable Broth.
Supplier A,Water,orders.suppliera@example.com,Alicia Pratama,+62-811-1000-0001,1,Dummy supplier record for Water.
Supplier B,White Bread,orders.supplierb@example.com,Bima Santoso,+62-811-1000-0002,2,Dummy supplier record for White Bread.
Supplier C,Yogurt,orders.supplierc@example.com,Clara Wijaya,+62-811-1000-0003,4,Dummy supplier record for Yogurt.
